Index	Tissue	Dataset_ID	Sample_ID	T:Tissue;C:Cellline	Cellline_name	Expression_level
12409	Blood-Cancer	GSE26760	GSM658608	T	None	9.990104
12410	Blood-Cancer	GSE26760	GSM658609	T	None	10.393391
12411	Blood-Cancer	GSE26760	GSM658610	T	None	8.882643
12412	Blood-Cancer	GSE26760	GSM658611	T	None	10.2946205
12413	Blood-Cancer	GSE26760	GSM658612	T	None	9.991522
12414	Blood-Cancer	GSE26760	GSM658613	T	None	9.802516
12415	Blood-Cancer	GSE26760	GSM658614	T	None	10.719389
12416	Blood-Cancer	GSE26760	GSM658615	T	None	8.942514
12417	Blood-Cancer	GSE26760	GSM658616	T	None	9.424167
12418	Blood-Cancer	GSE26760	GSM658617	T	None	9.521601
12419	Blood-Cancer	GSE26760	GSM658618	T	None	10.60177
12420	Blood-Cancer	GSE26760	GSM658619	T	None	9.57554
12421	Blood-Cancer	GSE26760	GSM658620	T	None	9.497851
12422	Blood-Cancer	GSE26760	GSM658621	T	None	10.635718
12423	Blood-Cancer	GSE26760	GSM658622	T	None	7.936638
12424	Blood-Cancer	GSE26760	GSM658623	T	None	8.463525
12425	Blood-Cancer	GSE26760	GSM658624	T	None	9.917372
12426	Blood-Cancer	GSE26760	GSM658625	T	None	8.936638
12427	Blood-Cancer	GSE26760	GSM658626	T	None	9.162392
12428	Blood-Cancer	GSE26760	GSM658627	T	None	9.426265
12429	Blood-Cancer	GSE26760	GSM658628	T	None	8.693487
12430	Blood-Cancer	GSE26760	GSM658629	T	None	9.405142
12431	Blood-Cancer	GSE26760	GSM658630	T	None	9.321928
12432	Blood-Cancer	GSE26760	GSM658631	T	None	8.83289
12433	Blood-Cancer	GSE26760	GSM658632	T	None	9.1674185
12434	Blood-Cancer	GSE26760	GSM658633	T	None	9.820179
12435	Blood-Cancer	GSE26760	GSM658634	T	None	9.42836
12436	Blood-Cancer	GSE26760	GSM658635	T	None	9.710807
12437	Blood-Cancer	GSE26760	GSM658636	T	None	9.710807
12438	Blood-Cancer	GSE26760	GSM658637	T	None	9.693487
12439	Blood-Cancer	GSE26760	GSM658638	T	None	8.724514
12440	Blood-Cancer	GSE26760	GSM658639	T	None	9.9307375
12441	Blood-Cancer	GSE26760	GSM658640	T	None	10.172427
12442	Blood-Cancer	GSE26760	GSM658641	T	None	9.357552
12443	Blood-Cancer	GSE26760	GSM658642	T	None	10.343185
12444	Blood-Cancer	GSE26760	GSM658643	T	None	9.719389
12445	Blood-Cancer	GSE26760	GSM658644	T	None	9.888743
12446	Blood-Cancer	GSE26760	GSM658645	T	None	9.799282
12447	Blood-Cancer	GSE26760	GSM658646	T	None	9.0443945
12448	Blood-Cancer	GSE26760	GSM658647	T	None	9.219169
12449	Blood-Cancer	GSE26760	GSM658648	T	None	9.672425
12450	Blood-Cancer	GSE26760	GSM658649	T	None	8.810572
12451	Blood-Cancer	GSE26760	GSM658650	T	None	9.550747
12452	Blood-Cancer	GSE26760	GSM658651	T	None	9.824959
12453	Blood-Cancer	GSE26760	GSM658652	T	None	10.686501
12454	Blood-Cancer	GSE26760	GSM658653	T	None	9.098032
12455	Blood-Cancer	GSE26760	GSM658654	T	None	9.269127
12456	Blood-Cancer	GSE26760	GSM658655	T	None	9.5622425
12457	Blood-Cancer	GSE26760	GSM658656	T	None	9.804131
12458	Blood-Cancer	GSE26760	GSM658657	T	None	9.693487
12459	Blood-Cancer	GSE26760	GSM658658	T	None	10.127995
12460	Blood-Cancer	GSE26760	GSM658659	T	None	9.62022
12461	Blood-Cancer	GSE26760	GSM658660	T	None	10.068778
12462	Blood-Cancer	GSE26760	GSM658661	T	None	9.702172
12463	Blood-Cancer	GSE26760	GSM658662	T	None	9.139551
12464	Blood-Cancer	GSE26760	GSM658663	T	None	9.566054
12465	Blood-Cancer	GSE26760	GSM658664	T	None	10.84784
12466	Blood-Cancer	GSE26760	GSM658665	T	None	8.459432
12467	Blood-Cancer	GSE26760	GSM658666	T	None	8.451211
12468	Blood-Cancer	GSE26760	GSM658667	T	None	11.838416
12469	Blood-Cancer	GSE26760	GSM658668	T	None	8.754888
12470	Blood-Cancer	GSE26760	GSM658669	T	None	9.306062
12471	Blood-Cancer	GSE26760	GSM658670	T	None	8.511753
12472	Blood-Cancer	GSE26760	GSM658671	T	None	8.942514
12473	Blood-Cancer	GSE26760	GSM658672	T	None	9.134426
12474	Blood-Cancer	GSE26760	GSM658673	T	None	10.104599
12475	Blood-Cancer	GSE26760	GSM658674	T	None	8.804131
12476	Blood-Cancer	GSE26760	GSM658675	T	None	9.914385
12477	Blood-Cancer	GSE26760	GSM658676	T	None	8.290019
12478	Blood-Cancer	GSE26760	GSM658677	T	None	9.453271
12479	Blood-Cancer	GSE26760	GSM658678	T	None	10.088788
12480	Blood-Cancer	GSE26760	GSM658679	T	None	9.221587
12481	Blood-Cancer	GSE26760	GSM658680	T	None	9.187352
12482	Blood-Cancer	GSE26760	GSM658681	T	None	10.302639
12483	Blood-Cancer	GSE26760	GSM658682	T	None	9.0741415
12484	Blood-Cancer	GSE26760	GSM658683	T	None	10.882643
12485	Blood-Cancer	GSE26760	GSM658684	T	None	8.761551
12486	Blood-Cancer	GSE26760	GSM658685	T	None	9.753217
12487	Blood-Cancer	GSE26760	GSM658686	T	None	10.0821495
12488	Blood-Cancer	GSE26760	GSM658687	T	None	9.495855
12489	Blood-Cancer	GSE26760	GSM658688	T	None	8.507794
12490	Blood-Cancer	GSE26760	GSM658689	T	None	9.721099
12491	Blood-Cancer	GSE26760	GSM658690	T	None	9.47978
12492	Blood-Cancer	GSE26760	GSM658691	T	None	9.812178
12493	Blood-Cancer	GSE26760	GSM658692	T	None	10.034799
12494	Blood-Cancer	GSE26760	GSM658693	T	None	9.055283
12495	Blood-Cancer	GSE26760	GSM658694	T	None	8.6402445
12496	Blood-Cancer	GSE26760	GSM658695	T	None	9.299208
12497	Blood-Cancer	GSE26760	GSM658696	T	None	11.09869
12498	Blood-Cancer	GSE26760	GSM658697	T	None	9.661778
12499	Blood-Cancer	GSE26760	GSM658698	T	None	10.113742
12500	Blood-Cancer	GSE26760	GSM658699	T	None	9.199673
12501	Blood-Cancer	GSE26760	GSM658700	T	None	9.847057
12502	Blood-Cancer	GSE26760	GSM658701	T	None	8.936638
12503	Blood-Cancer	GSE26760	GSM658702	T	None	9.658212
12504	Blood-Cancer	GSE26760	GSM658703	T	None	10.380461
12505	Blood-Cancer	GSE26760	GSM658704	T	None	10.652845
12506	Blood-Cancer	GSE26760	GSM658705	T	None	9.394463
12507	Blood-Cancer	GSE26760	GSM658706	T	None	9.084808
12508	Blood-Cancer	GSE26760	GSM658707	T	None	10.600842
12509	Blood-Cancer	GSE26760	GSM658708	T	None	10.62022
12510	Blood-Cancer	GSE26760	GSM658709	T	None	9.216746
12511	Blood-Cancer	GSE26760	GSM658710	T	None	9.693487
12512	Blood-Cancer	GSE26760	GSM658711	T	None	10.569856
12513	Blood-Cancer	GSE26760	GSM658712	T	None	9.712527
12514	Blood-Cancer	GSE26760	GSM658713	T	None	9.603626
12515	Blood-Cancer	GSE26760	GSM658714	T	None	9.642052
12516	Blood-Cancer	GSE26760	GSM658715	T	None	9.411511
12517	Blood-Cancer	GSE26760	GSM658716	T	None	11.653741
12518	Blood-Cancer	GSE26760	GSM658717	T	None	11.406205
12519	Blood-Cancer	GSE26760	GSM658718	T	None	9.78136
12520	Blood-Cancer	GSE26760	GSM658719	T	None	10.511753
12521	Blood-Cancer	GSE26760	GSM658720	T	None	9.381543
12522	Blood-Cancer	GSE26760	GSM658721	T	None	11.218563
12523	Blood-Cancer	GSE26878	GSM661380	T	None	9.815383
12524	Blood-Cancer	GSE26878	GSM661381	T	None	9.609179
12525	Blood-Cancer	GSE26878	GSM661383	T	None	9.283089
12526	Blood-Cancer	GSE26878	GSM661384	T	None	9.41996
12527	Blood-Cancer	GSE26878	GSM661385	T	None	10.783816
12528	Blood-Cancer	GSE26878	GSM661386	T	None	8.97728
12529	Blood-Cancer	GSE26878	GSM661388	T	None	10.355351
12530	Blood-Cancer	GSE26878	GSM661390	T	None	10.851749
12531	Blood-Cancer	GSE26878	GSM661392	T	None	10.51274
12532	Blood-Cancer	GSE26878	GSM661395	T	None	9.698705
12533	Blood-Cancer	GSE26878	GSM661397	T	None	11.265615
12534	Blood-Cancer	GSE26878	GSM661399	T	None	11.58684
12535	Blood-Cancer	GSE27838	GSM687236	T	None	9.96145
12536	Blood-Cancer	GSE27838	GSM687253	T	None	8.962896
12537	Blood-Cancer	GSE27838	GSM687254	T	None	9.581201
12538	Blood-Cancer	GSE27838	GSM687255	T	None	8.906891
12539	Blood-Cancer	GSE27838	GSM687256	T	None	8.903882
12540	Blood-Cancer	GSE27838	GSM687257	T	None	9.0741415
12541	Blood-Cancer	GSE27838	GSM687258	T	None	9.147205
12542	Blood-Cancer	GSE27838	GSM687259	T	None	9.759889
12543	Blood-Cancer	GSE27838	GSM687260	T	None	12.120562
12544	Blood-Cancer	GSE27838	GSM687261	T	None	11.738515
12545	Blood-Cancer	GSE27838	GSM687262	T	None	12.048146
12546	Blood-Cancer	GSE27838	GSM687263	T	None	11.615629
12547	Blood-Cancer	GSE27838	GSM687264	T	None	11.810572
12548	Blood-Cancer	GSE27838	GSM687265	T	None	11.946176
12549	Blood-Cancer	GSE27838	GSM687266	T	None	11.660441
12550	Blood-Cancer	GSE27838	GSM687267	T	None	11.824959
12551	Blood-Cancer	GSE28654	GSM709859	T	None	10.834471
12552	Blood-Cancer	GSE28654	GSM709860	T	None	10.149747
12553	Blood-Cancer	GSE28654	GSM709861	T	None	11.260331
12554	Blood-Cancer	GSE28654	GSM709862	T	None	10.982281
12555	Blood-Cancer	GSE28654	GSM709863	T	None	11.332596
12556	Blood-Cancer	GSE28654	GSM709864	T	None	9.554589
12557	Blood-Cancer	GSE28654	GSM709865	T	None	9.717676
12558	Blood-Cancer	GSE28654	GSM709866	T	None	10.72707
12559	Blood-Cancer	GSE28654	GSM709867	T	None	9.902375
12560	Blood-Cancer	GSE28654	GSM709868	T	None	10.67772
12561	Blood-Cancer	GSE28654	GSM709869	T	None	11.337065
12562	Blood-Cancer	GSE28654	GSM709870	T	None	10.33539
12563	Blood-Cancer	GSE28654	GSM709871	T	None	10.559377
12564	Blood-Cancer	GSE28654	GSM709872	T	None	11.208844
12565	Blood-Cancer	GSE28654	GSM709873	T	None	10.646559
12566	Blood-Cancer	GSE28654	GSM709874	T	None	11.265615
12567	Blood-Cancer	GSE28654	GSM709875	T	None	10.80816
12568	Blood-Cancer	GSE28654	GSM709876	T	None	11.014021
12569	Blood-Cancer	GSE28654	GSM709877	T	None	10.733863
12570	Blood-Cancer	GSE28654	GSM709878	T	None	11.065416
12571	Blood-Cancer	GSE28654	GSM709879	T	None	11.398744
12572	Blood-Cancer	GSE28654	GSM709880	T	None	9.337622
12573	Blood-Cancer	GSE28654	GSM709881	T	None	11.179287
12574	Blood-Cancer	GSE28654	GSM709882	T	None	10.698705
12575	Blood-Cancer	GSE28654	GSM709883	T	None	10.747354
12576	Blood-Cancer	GSE28654	GSM709884	T	None	10.17742
12577	Blood-Cancer	GSE28654	GSM709885	T	None	10.851749
12578	Blood-Cancer	GSE28654	GSM709886	T	None	11.16365
12579	Blood-Cancer	GSE28654	GSM709887	T	None	10.476747
12580	Blood-Cancer	GSE28654	GSM709888	T	None	10.8572035
12581	Blood-Cancer	GSE28654	GSM709889	T	None	11.065416
12582	Blood-Cancer	GSE28654	GSM709890	T	None	10.909143
12583	Blood-Cancer	GSE28654	GSM709891	T	None	10.568906
12584	Blood-Cancer	GSE28654	GSM709892	T	None	11.043711
12585	Blood-Cancer	GSE28654	GSM709893	T	None	10.935902
12586	Blood-Cancer	GSE28654	GSM709894	T	None	10.6456585
12587	Blood-Cancer	GSE28654	GSM709895	T	None	11.239598
12588	Blood-Cancer	GSE28654	GSM709896	T	None	9.695229
12589	Blood-Cancer	GSE28654	GSM709897	T	None	10.789534
12590	Blood-Cancer	GSE28654	GSM709898	T	None	10.361944
12591	Blood-Cancer	GSE28654	GSM709899	T	None	10.794415
12592	Blood-Cancer	GSE28654	GSM709900	T	None	10.867279
12593	Blood-Cancer	GSE28654	GSM709901	T	None	10.1674185
12594	Blood-Cancer	GSE28654	GSM709902	T	None	10.26092
12595	Blood-Cancer	GSE28654	GSM709903	T	None	10.660888
12596	Blood-Cancer	GSE28654	GSM709904	T	None	10.478769
12597	Blood-Cancer	GSE28654	GSM709905	T	None	10.448116
12598	Blood-Cancer	GSE28654	GSM709906	T	None	10.97298
12599	Blood-Cancer	GSE28654	GSM709907	T	None	10.169925
12600	Blood-Cancer	GSE28654	GSM709908	T	None	10.224002
12601	Blood-Cancer	GSE28654	GSM709909	T	None	10.73471
12602	Blood-Cancer	GSE28654	GSM709910	T	None	10.583083
12603	Blood-Cancer	GSE28654	GSM709911	T	None	9.675957
12604	Blood-Cancer	GSE28654	GSM709912	T	None	10.7565565
12605	Blood-Cancer	GSE28654	GSM709913	T	None	10.464546
12606	Blood-Cancer	GSE28654	GSM709914	T	None	10.659996
12607	Blood-Cancer	GSE28654	GSM709915	T	None	10.701306
12608	Blood-Cancer	GSE28654	GSM709916	T	None	10.540128
12609	Blood-Cancer	GSE28654	GSM709917	T	None	10.660888
12610	Blood-Cancer	GSE28654	GSM709918	T	None	10.864186
12611	Blood-Cancer	GSE28654	GSM709919	T	None	10.530406
12612	Blood-Cancer	GSE28654	GSM709920	T	None	11.228819
12613	Blood-Cancer	GSE28654	GSM709921	T	None	10.743993
12614	Blood-Cancer	GSE28654	GSM709922	T	None	11.240195
12615	Blood-Cancer	GSE28654	GSM709923	T	None	10.707359
12616	Blood-Cancer	GSE28654	GSM709924	T	None	10.812178
12617	Blood-Cancer	GSE28654	GSM709925	T	None	10.510764
12618	Blood-Cancer	GSE28654	GSM709926	T	None	10.820976
12619	Blood-Cancer	GSE28654	GSM709927	T	None	10.820976
12620	Blood-Cancer	GSE28654	GSM709928	T	None	10.641149
12621	Blood-Cancer	GSE28654	GSM709929	T	None	10.610102
12622	Blood-Cancer	GSE28654	GSM709930	T	None	10.952013
12623	Blood-Cancer	GSE28654	GSM709931	T	None	10.980854
12624	Blood-Cancer	GSE28654	GSM709932	T	None	10.578373
12625	Blood-Cancer	GSE28654	GSM709933	T	None	10.967947
12626	Blood-Cancer	GSE28654	GSM709934	T	None	10.891025
12627	Blood-Cancer	GSE28654	GSM709935	T	None	11.306631
12628	Blood-Cancer	GSE28654	GSM709936	T	None	10.451211
12629	Blood-Cancer	GSE28654	GSM709937	T	None	10.782179
12630	Blood-Cancer	GSE28654	GSM709938	T	None	10.758224
12631	Blood-Cancer	GSE28654	GSM709939	T	None	10.476747
12632	Blood-Cancer	GSE28654	GSM709940	T	None	11.149747
12633	Blood-Cancer	GSE28654	GSM709941	T	None	10.259744
12634	Blood-Cancer	GSE28654	GSM709943	T	None	10.062046
12635	Blood-Cancer	GSE28654	GSM709944	T	None	11.277868
12636	Blood-Cancer	GSE28654	GSM709945	T	None	10.749869
12637	Blood-Cancer	GSE28654	GSM709946	T	None	10.812178
12638	Blood-Cancer	GSE28654	GSM709947	T	None	11.197831
12639	Blood-Cancer	GSE28654	GSM709948	T	None	10.869594
12640	Blood-Cancer	GSE28654	GSM709949	T	None	10.516685
12641	Blood-Cancer	GSE28654	GSM709950	T	None	10.659996
12642	Blood-Cancer	GSE28654	GSM709951	T	None	10.424167
12643	Blood-Cancer	GSE28654	GSM709952	T	None	9.971543
12644	Blood-Cancer	GSE28654	GSM709953	T	None	10.037547
12645	Blood-Cancer	GSE28654	GSM709954	T	None	11.11959
12646	Blood-Cancer	GSE28654	GSM709955	T	None	11.55267
12647	Blood-Cancer	GSE28654	GSM709956	T	None	10.521601
12648	Blood-Cancer	GSE28654	GSM709957	T	None	11.142107
12649	Blood-Cancer	GSE28654	GSM709958	T	None	10.933691
12650	Blood-Cancer	GSE28654	GSM709959	T	None	10.951284
12651	Blood-Cancer	GSE28654	GSM709960	T	None	10.885696
12652	Blood-Cancer	GSE28654	GSM709961	T	None	10.63934
12653	Blood-Cancer	GSE28654	GSM709962	T	None	10.759889
12654	Blood-Cancer	GSE28654	GSM709963	T	None	10.296916
12655	Blood-Cancer	GSE28654	GSM709964	T	None	10.671541
12656	Blood-Cancer	GSE28654	GSM709965	T	None	10.559377
12657	Blood-Cancer	GSE28654	GSM709966	T	None	11.17742
12658	Blood-Cancer	GSE28654	GSM709967	T	None	10.393391
12659	Blood-Cancer	GSE28654	GSM709968	T	None	10.827343
12660	Blood-Cancer	GSE28654	GSM709969	T	None	10.768185
12661	Blood-Cancer	GSE28654	GSM709970	T	None	10.414685
12666	Blood-Cancer	GSE29986	GSM742112	T	None	10.909893
12667	Blood-Cancer	GSE29986	GSM742113	T	None	11.2300205
12668	Blood-Cancer	GSE29986	GSM742114	T	None	10.55267
12669	Blood-Cancer	GSE29986	GSM742115	T	None	10.138271
12670	Blood-Cancer	GSE29986	GSM742116	T	None	10.9008665
12671	Blood-Cancer	GSE29986	GSM742117	T	None	10.654636
12672	Blood-Cancer	GSE29986	GSM742118	T	None	11.473705
12673	Blood-Cancer	GSE29986	GSM742119	T	None	9.816983
12674	Blood-Cancer	GSE29986	GSM742120	T	None	9.436711
12675	Blood-Cancer	GSE29986	GSM742121	T	None	10.149747
12676	Blood-Cancer	GSE29986	GSM742122	T	None	10.691744
12677	Blood-Cancer	GSE29986	GSM742123	T	None	10.17742
12678	Blood-Cancer	GSE29986	GSM742124	T	None	10.884933
12679	Blood-Cancer	GSE29986	GSM742125	T	None	9.616549
12680	Blood-Cancer	GSE29986	GSM742126	T	None	11.506308
12681	Blood-Cancer	GSE29986	GSM742127	T	None	11.105908
12682	Blood-Cancer	GSE29986	GSM742128	T	None	9.965784
12683	Blood-Cancer	GSE29986	GSM742129	T	None	9.724514
12684	Blood-Cancer	GSE29986	GSM742130	T	None	10.75739
12685	Blood-Cancer	GSE29986	GSM742131	T	None	10.698705
12686	Blood-Cancer	GSE29986	GSM742132	T	None	11.634357
12687	Blood-Cancer	GSE29986	GSM742133	T	None	11.253257
12688	Blood-Cancer	GSE29986	GSM742134	T	None	9.831307
12689	Blood-Cancer	GSE29986	GSM742135	T	None	12.487086
12690	Blood-Cancer	GSE29986	GSM742136	T	None	11.439831
12691	Blood-Cancer	GSE29986	GSM742137	T	None	10.871135
12692	Blood-Cancer	GSE29986	GSM742138	T	None	10.984419
12693	Blood-Cancer	GSE29986	GSM742139	T	None	11.0633955
12694	Blood-Cancer	GSE29986	GSM742140	T	None	11.145295
12695	Blood-Cancer	GSE29986	GSM742141	T	None	10.644757
12696	Blood-Cancer	GSE29986	GSM742142	T	None	11.413628
12697	Blood-Cancer	GSE29986	GSM742143	T	None	10.804937
12698	Blood-Cancer	GSE29986	GSM742144	T	None	10.2772875
12699	Blood-Cancer	GSE29986	GSM742145	T	None	10.695229
12700	Blood-Cancer	GSE29986	GSM742146	T	None	10.659104
12701	Blood-Cancer	GSE29986	GSM742147	T	None	10.40088
12702	Blood-Cancer	GSE30442	GSM755001	T	None	10.555548
12703	Blood-Cancer	GSE30442	GSM755002	T	None	12.416269
12704	Blood-Cancer	GSE30442	GSM755003	T	None	12.081817
12705	Blood-Cancer	GSE30442	GSM755004	T	None	13.234518
12706	Blood-Cancer	GSE30442	GSM755005	T	None	11.821774
12707	Blood-Cancer	GSE30442	GSM755006	T	None	11.008429
12708	Blood-Cancer	GSE30442	GSM755007	T	None	11.747773
12709	Blood-Cancer	GSE30442	GSM755008	T	None	11.834866
12710	Blood-Cancer	GSE30442	GSM755009	T	None	11.092757
12711	Blood-Cancer	GSE30442	GSM755010	T	None	11.162392
12712	Blood-Cancer	GSE30442	GSM755011	T	None	10.540128
12713	Blood-Cancer	GSE30442	GSM755024	T	None	10.904634
12716	Blood-Cancer	GSE30599	GSM759014	T	None	11.846665
12717	Blood-Cancer	GSE30599	GSM759015	T	None	12.005625
12718	Blood-Cancer	GSE30599	GSM759016	T	None	12.236313
12719	Blood-Cancer	GSE30599	GSM759017	T	None	12.789941
12720	Blood-Cancer	GSE30599	GSM759018	T	None	11.920353
12721	Blood-Cancer	GSE30599	GSM759019	T	None	12.426265
12722	Blood-Cancer	GSE30599	GSM759021	T	None	11.324743
12723	Blood-Cancer	GSE30599	GSM759022	T	None	11.903505
12724	Blood-Cancer	GSE30599	GSM759023	T	None	12.020633
12725	Blood-Cancer	GSE30599	GSM759024	T	None	12.210976
12726	Blood-Cancer	GSE30599	GSM759025	T	None	12.094078
12727	Blood-Cancer	GSE30599	GSM759026	T	None	12.139551
12728	Blood-Cancer	GSE30599	GSM759027	T	None	12.445015
12729	Blood-Cancer	GSE30599	GSM759028	T	None	12.187352
12730	Blood-Cancer	GSE30599	GSM759029	T	None	11.443461
12731	Blood-Cancer	GSE30599	GSM759030	T	None	11.672867
12732	Blood-Cancer	GSE30599	GSM759031	T	None	11.356452
12733	Blood-Cancer	GSE30599	GSM759032	T	None	11.863025
12734	Blood-Cancer	GSE30599	GSM759033	T	None	11.402479
12735	Blood-Cancer	GSE30599	GSM759034	T	None	12.162706
12736	Blood-Cancer	GSE30599	GSM759035	T	None	11.624338
12737	Blood-Cancer	GSE30599	GSM759036	T	None	11.759889
12738	Blood-Cancer	GSE30599	GSM759037	T	None	12.183015
12739	Blood-Cancer	GSE30599	GSM759038	T	None	11.186114
12740	Blood-Cancer	GSE30599	GSM759039	T	None	11.712956
12741	Blood-Cancer	GSE30599	GSM759040	T	None	11.7657
12742	Blood-Cancer	GSE30599	GSM759041	T	None	11.772315
12743	Blood-Cancer	GSE30599	GSM759042	T	None	11.222191
12746	Blood-Cancer	GSE30903	GSM766225	T	None	11.441388
12747	Blood-Cancer	GSE30903	GSM766227	T	None	10.758224
12748	Blood-Cancer	GSE30903	GSM766229	T	None	11.493355
12749	Blood-Cancer	GSE30903	GSM766231	T	None	12.611947
12750	Blood-Cancer	GSE30903	GSM766233	T	None	11.092757
12751	Blood-Cancer	GSE30903	GSM766235	T	None	10.342074
12752	Blood-Cancer	GSE30903	GSM766237	T	None	12.482808
12753	Blood-Cancer	GSE30903	GSM766239	T	None	12.209758
12754	Blood-Cancer	GSE30903	GSM766241	T	None	10.290019
12755	Blood-Cancer	GSE30903	GSM766243	T	None	11.952742
12756	Blood-Cancer	GSE30903	GSM766245	T	None	11.6807995
12757	Blood-Cancer	GSE30903	GSM766247	T	None	10.789534
12764	Blood-Cancer	GSE31312	GSM775979	T	None	9.696967
12765	Blood-Cancer	GSE31312	GSM775980	T	None	11.361944
12766	Blood-Cancer	GSE31312	GSM775981	T	None	8.622052
12767	Blood-Cancer	GSE31312	GSM775982	T	None	10.838416
12768	Blood-Cancer	GSE31312	GSM775983	T	None	10.368506
12769	Blood-Cancer	GSE31312	GSM775984	T	None	9.113742
12770	Blood-Cancer	GSE31312	GSM775985	T	None	11.509775
12771	Blood-Cancer	GSE31312	GSM775986	T	None	11.034799
12772	Blood-Cancer	GSE31312	GSM775987	T	None	9.748193
12773	Blood-Cancer	GSE31312	GSM775988	T	None	11.554589
12774	Blood-Cancer	GSE31312	GSM775989	T	None	10.00422
12775	Blood-Cancer	GSE31312	GSM775990	T	None	11.394999
12776	Blood-Cancer	GSE31312	GSM775991	T	None	10.049849
12777	Blood-Cancer	GSE31312	GSM775992	T	None	8.550747
12778	Blood-Cancer	GSE31312	GSM775993	T	None	9.893302
12779	Blood-Cancer	GSE31312	GSM775994	T	None	11.169925
12780	Blood-Cancer	GSE31312	GSM775995	T	None	10.247928
12781	Blood-Cancer	GSE31312	GSM775996	T	None	8.317412
12782	Blood-Cancer	GSE31312	GSM775997	T	None	10.296916
12783	Blood-Cancer	GSE31312	GSM775998	T	None	10.157347
12784	Blood-Cancer	GSE31312	GSM775999	T	None	10.269127
12785	Blood-Cancer	GSE31312	GSM776000	T	None	10.733015
12786	Blood-Cancer	GSE31312	GSM776001	T	None	10.406205
12787	Blood-Cancer	GSE31312	GSM776002	T	None	10.411511
12788	Blood-Cancer	GSE31312	GSM776003	T	None	10.095397
12789	Blood-Cancer	GSE31312	GSM776004	T	None	8.23362
12790	Blood-Cancer	GSE31312	GSM776005	T	None	13.090444
12791	Blood-Cancer	GSE31312	GSM776006	T	None	10.909893
12792	Blood-Cancer	GSE31312	GSM776007	T	None	11.138271
12793	Blood-Cancer	GSE31312	GSM776008	T	None	11.009129
12794	Blood-Cancer	GSE31312	GSM776009	T	None	8.290019
12795	Blood-Cancer	GSE31312	GSM776010	T	None	11.67992
12796	Blood-Cancer	GSE31312	GSM776011	T	None	10.927037
12797	Blood-Cancer	GSE31312	GSM776012	T	None	11.011926
12798	Blood-Cancer	GSE31312	GSM776013	T	None	10.822571
12799	Blood-Cancer	GSE31312	GSM776014	T	None	10.52943
12800	Blood-Cancer	GSE31312	GSM776015	T	None	10.778077
12801	Blood-Cancer	GSE31312	GSM776016	T	None	11.653741
12802	Blood-Cancer	GSE31312	GSM776017	T	None	10.13057
12803	Blood-Cancer	GSE31312	GSM776018	T	None	12.439571
12804	Blood-Cancer	GSE31312	GSM776019	T	None	11.489848
12805	Blood-Cancer	GSE31312	GSM776020	T	None	11.222795
12806	Blood-Cancer	GSE31312	GSM776021	T	None	12.003518
12807	Blood-Cancer	GSE31312	GSM776022	T	None	10.926296
12808	Blood-Cancer	GSE31312	GSM776023	T	None	12.052228
12809	Blood-Cancer	GSE31312	GSM776024	T	None	11.337622
12810	Blood-Cancer	GSE31312	GSM776025	T	None	10.635718
12811	Blood-Cancer	GSE31312	GSM776026	T	None	10.997179
12812	Blood-Cancer	GSE31312	GSM776027	T	None	11.120886
12813	Blood-Cancer	GSE31312	GSM776028	T	None	11.5840225
12814	Blood-Cancer	GSE31312	GSM776029	T	None	10.429407
12815	Blood-Cancer	GSE31312	GSM776030	T	None	10.772315
12816	Blood-Cancer	GSE31312	GSM776031	T	None	12.788107
12817	Blood-Cancer	GSE31312	GSM776032	T	None	11.326429
12818	Blood-Cancer	GSE31312	GSM776033	T	None	12.499099
12819	Blood-Cancer	GSE31312	GSM776034	T	None	9.717676
12820	Blood-Cancer	GSE31312	GSM776035	T	None	10.023754
12821	Blood-Cancer	GSE31312	GSM776036	T	None	11.096056
12822	Blood-Cancer	GSE31312	GSM776037	T	None	10.666224
12823	Blood-Cancer	GSE31312	GSM776038	T	None	9.038919
12824	Blood-Cancer	GSE31312	GSM776039	T	None	11.351491
12825	Blood-Cancer	GSE31312	GSM776040	T	None	11.712956
12826	Blood-Cancer	GSE31312	GSM776041	T	None	12.911579
12827	Blood-Cancer	GSE31312	GSM776042	T	None	12.799484
12828	Blood-Cancer	GSE31312	GSM776043	T	None	13.381543
12829	Blood-Cancer	GSE31312	GSM776044	T	None	11.39607
12830	Blood-Cancer	GSE31312	GSM776045	T	None	10.622052
12831	Blood-Cancer	GSE31312	GSM776046	T	None	12.535519
12832	Blood-Cancer	GSE31312	GSM776047	T	None	11.630267
12833	Blood-Cancer	GSE31312	GSM776048	T	None	9.543032
12834	Blood-Cancer	GSE31312	GSM776049	T	None	10.629356
12835	Blood-Cancer	GSE31312	GSM776050	T	None	11.236612
12836	Blood-Cancer	GSE31312	GSM776051	T	None	11.720244
12837	Blood-Cancer	GSE31312	GSM776052	T	None	10.804131
12838	Blood-Cancer	GSE31312	GSM776053	T	None	10.844706
12839	Blood-Cancer	GSE31312	GSM776054	T	None	11.306631
12840	Blood-Cancer	GSE31312	GSM776055	T	None	10.109831
12841	Blood-Cancer	GSE31312	GSM776056	T	None	10.454299
12842	Blood-Cancer	GSE31312	GSM776057	T	None	11.807757
12843	Blood-Cancer	GSE31312	GSM776058	T	None	9.807355
12844	Blood-Cancer	GSE31312	GSM776059	T	None	10.643856
